Timestamp,User,Event,Comments
2025-02-04 18:35:49,    SYSTEM    ,    Program Started,    
2025-02-04 18:36:08,    SYSTEM    ,    Program Started,    
2025-02-04 18:36:55,    SYSTEM    ,    Program End,    
2025-02-04 18:48:17,    SYSTEM    ,    Program Started,    
2025-02-04 18:48:23,              ,    Leak Test Started,    
2025-02-04 18:48:26,              ,    Leak Test Completed,"    {'FTPT': [50.66, 52.56, 53.06, 50.33, 52.52, 54.28], 'LTPT': [51.0, 51.21, 51.09, 51.1, 51.66, 51.8], 'Pneum': [50.27, 51.93, 51.26, 51.15, 50.1, 50.28], 'HPPT': [63.05, 61.5, 51.86, 72.21, 53.25, 65.93]}"
2025-02-04 18:48:41,    SYSTEM    ,    Program End,    
2025-02-04 18:51:39,    SYSTEM    ,    Program Started,    
2025-02-04 18:51:44,              ,    Leak Test Started,    
2025-02-04 18:51:47,              ,    Leak Test Completed,"    {'FTPT': [52.72, 53.34, 52.4, 51.23, 54.97, 53.03], 'LTPT': [51.93, 51.47, 50.81, 50.3, 51.81, 51.3], 'Pneum': [51.5, 50.22, 51.89, 50.97, 50.26, 50.39], 'HPPT': [71.3, 59.95, 73.11, 70.6, 69.19, 69.4]}"
2025-02-04 18:51:56,    SYSTEM    ,    Program End,    
2025-02-04 18:54:02,    SYSTEM    ,    Program Started,    
2025-02-04 18:54:05,    SYSTEM    ,    Program End,    
2025-02-04 18:54:41,    SYSTEM    ,    Program Started,    
2025-02-04 18:54:44,    SYSTEM    ,    Program End,    
2025-02-04 18:55:06,    SYSTEM    ,    Program Started,    
2025-02-04 18:55:09,    SYSTEM    ,    Program End,    
2025-02-04 18:55:32,    SYSTEM    ,    Program Started,    
2025-02-04 18:55:38,    SYSTEM    ,    Program End,    
2025-02-04 19:41:10,    SYSTEM    ,    Program Started,    
2025-02-04 19:52:02,    SYSTEM    ,    Program Started,    
2025-02-04 19:55:16,    SYSTEM    ,    Program Started,    
2025-02-04 19:55:28,              ,    Calibration Equation Updated,    
2025-02-04 19:55:32,    SYSTEM    ,    Program End,    
2025-02-04 19:59:25,    SYSTEM    ,    Program Started,    
2025-02-04 20:01:29,    SYSTEM    ,    Program Started,    
2025-02-04 20:01:35,    SYSTEM    ,    Program End,    
2025-02-04 20:01:50,    SYSTEM    ,    Program Started,    
2025-02-04 20:03:51,    SYSTEM    ,    Program Started,    
2025-02-04 20:04:59,    SYSTEM    ,    Program Started,    
2025-02-04 20:05:08,    SYSTEM    ,    Program End,    
2025-02-04 20:06:02,    SYSTEM    ,    Program Started,    
2025-02-04 20:06:09,    SYSTEM    ,    Program End,    
2025-02-04 20:06:21,    SYSTEM    ,    Program Started,    
2025-02-04 20:06:30,    SYSTEM    ,    Program End,    
2025-02-04 20:07:02,    SYSTEM    ,    Program Started,    
2025-02-04 20:07:29,    SYSTEM    ,    Program Started,    
2025-02-04 20:07:54,              ,    Leak Test Started,    
2025-02-04 20:07:57,              ,    Leak Test Completed,"    {'FTPT': [50.67, 51.56, 50.91, 50.79, 53.05, 54.41], 'LTPT': [51.86, 51.28, 51.84, 51.34, 50.22, 51.25], 'Pneum': [50.82, 51.98, 51.7, 50.7, 51.79, 50.86], 'HPPT': [62.9, 53.8, 59.53, 64.12, 68.52, 55.04]}"
2025-02-04 20:08:05,    SYSTEM    ,    Program End,    
